right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
18.978,366,-2.4755,-3.8605,-11.4931,1.7147,0.3139,2.02,75,18.366,354,7.6311,1.4645,-10.2525,1.5591,0.2418,-0.5267,88,18.859,364,14.5049,-2.4385,-11.9798,-0.4479,-1.9057,0.1782,70,18.687,360,4.4327,-2.1171,-18.6492,0.7565,0.8203,-0.0183,40,80660.278,1559785,0.4046,-2.6664,-9.1699,-1.6283,-1.6035,-1.4757,47
19.03,367,0.1354,-0.0197,-15.1212,1.9258,-0.4402,1.3094,75,18.418,355,7.3862,1.2208,-10.3609,1.2601,-0.0466,-0.3001,88,18.911,365,12.4318,-0.5199,-10.4593,-0.0474,-1.5754,-0.1248,70,18.739,361,6.5594,-0.2241,-17.2344,0.5186,0.3486,0.2225,40,80660.329,1559786,0.057,-2.3471,-8.8498,-1.8663,-1.8334,-1.7531,47
19.082,368,2.9215,0.3129,-17.3309,0.7802,0.1428,1.6323,75,18.47,356,9.2309,2.4726,-9.825,1.2174,-0.703,0.1094,88,18.963,366,10.0573,0.0124,-8.8858,-0.1861,-0.6512,-0.5862,70,18.791,362,6.475,-0.1935,-15.6184,-0.18,0.1352,0.5586,40,80660.381,1559787,5.3999,-3.2975,-3.8956,-1.5428,-1.9,-1.7988,47
19.133,369,1.6247,4.5196,-20.6453,-0.108,-0.5651,1.0335,75,18.521,357,9.4556,2.6725,-10.3166,0.8511,-0.7246,0.3597,88,19.015,367,8.7913,0.0471,-9.3958,-0.4731,0.2031,-0.8464,70,18.842,363,7.1655,-0.2992,-14.9917,-0.0345,-0.0046,0.5184,40,80660.433,1559788,3.0636,2.9147,-0.2798,-0.4521,-2.0498,-1.1746,47
19.185,370,6.243,0.8938,-15.6488,0.5157,-1.0818,0.0792,75,18.573,358,9.3644,3.2541,-9.7165,0.5964,-0.8549,0.4339,88,19.066,368,8.5573,-0.341,-10.5288,-0.6008,0.8266,-0.7765,70,18.894,364,7.6127,-0.1686,-14.5762,-0.1658,-0.0178,0.5232,40,80660.485,1559789,1.9949,2.5437,-0.5157,0.3439,-2.1591,-0.2728,47
19.237,371,9.6137,-2.2864,-9.9081,-0.301,-0.8845,0.1852,75,18.625,359,8.3603,3.096,-8.6923,-0.2448,-1.0307,0.6024,88,19.118,369,10.1409,-1.0003,-13.0038,0.2069,1.2816,-0.913,70,18.946,365,8.2438,-0.6854,-13.6318,0.1253,-0.0414,0.4107,40,80660.537,1559790,1.1997,2.26,-0.6532,0.9249,-2.2389,0.3913,47
19.289,372,9.3305,-4.8667,-4.6403,-0.8292,0.0366,0.4121,75,18.677,360,7.9981,2.9121,-9.103,-0.8587,-0.8978,0.5955,88,19.17,370,12.6671,-1.8293,-15.6418,0.8275,1.6137,-1.3258,70,18.998,366,8.3976,-0.0095,-12.885,0.2186,-0.1544,0.4233,40,80660.588,1559791,0.5822,2.032,-0.7315,1.3489,-2.2971,0.8827,47
19.34,373,8.877,-5.5847,-2.4273,-0.2016,0.7092,0.6841,75,18.729,361,8.7799,3.321,-10.3546,-0.6247,-0.1505,0.2204,88,19.222,371,10.5479,-2.0162,-16.9563,1.1396,1.3718,-1.018,70,19.05,367,8.6568,-0.09,-12.2883,0.296,-0.5297,0.4281,40,80660.64,1559792,1.8927,4.0393,1.1277,1.4973,-2.3365,1.3199,47
19.392,374,7.2872,-4.0687,-4.6024,0.4774,1.2,1.1229,75,18.78,362,9.3278,3.2686,-11.5241,-0.0168,0.5692,-0.4742,88,19.273,372,10.8064,-1.3037,-14.6889,0.7737,0.3278,-0.456,70,19.101,368,8.8041,-0.0545,-12.9851,0.4758,-0.9198,0.3634,40,80660.692,1559793,1.2122,3.4378,-1.4059,1.5348,-2.3683,1.639,47
19.444,375,4.2643,-0.8076,-8.5985,1.0226,1.4691,1.015,75,18.832,363,9.4595,2.8242,-12.1664,0.1722,0.877,-0.9249,88,19.325,373,9.7712,-5.1777,-15.796,0.6826,-0.4154,0.2086,70,19.153,369,10.741,1.8753,-13.3925,0.8544,-1.1385,0.2622,40,80660.744,1559794,0.7466,3.0144,-3.2917,1.5401,-2.3916,1.8719,47
